EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Education,Department,JobRole,JobLevel,Attrition,BusinessTravel,DistanceFromHome,OverTime,WorkLifeBalance,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear
511,22,Female,Married,3,Medical,3,Research & Development,Research Scientist,1,No,Travel_Rarely,11,No,3,43,253,24440,2244,13,1,1,3,2,4,3,2,2,1,1,2,1,1
513,36,Male,Married,2,Medical,2,Sales,Sales Executive,3,No,Travel_Rarely,2,No,3,61,164,3809,7596,13,2,2,2,3,2,3,10,10,9,9,0,1,2
514,30,Male,Single,3,Technical Degree,3,Research & Development,Research Scientist,1,Yes,Travel_Frequently,4,Yes,3,40,464,3427,2285,23,0,3,3,4,3,4,3,1,0,0,0,9,4
515,37,Female,Divorced,3,Life Sciences,3,Research & Development,Laboratory Technician,1,No,Travel_Rarely,14,No,2,95,1107,26914,3034,12,1,4,3,1,3,3,18,18,7,12,17,1,2
516,40,Female,Divorced,2,Marketing,2,Sales,Sales Executive,2,No,Travel_Rarely,2,No,3,46,759,22553,5715,12,2,4,3,2,3,3,8,5,4,1,3,7,5
517,42,Female,Divorced,4,Life Sciences,4,Research & Development,Laboratory Technician,1,No,Travel_Rarely,1,No,3,95,201,20490,2576,16,1,2,3,1,2,3,8,5,2,1,2,3,5
518,37,Male,Single,4,Life Sciences,4,Research & Development,Manufacturing Director,2,No,Travel_Rarely,10,Yes,2,49,1305,21123,4197,12,0,3,3,2,4,3,18,1,0,0,1,2,2
520,43,Male,Divorced,3,Life Sciences,3,Research & Development,Research Director,4,No,Travel_Rarely,12,No,3,59,982,4345,14336,11,1,1,2,2,3,3,25,25,10,3,9,1,3
521,40,Female,Married,3,Medical,3,Research & Development,Laboratory Technician,2,No,Travel_Rarely,2,No,3,78,555,13436,3448,22,1,2,2,3,2,4,20,1,0,0,0,6,3
522,54,Male,Married,2,Medical,2,Research & Development,Research Director,5,No,Travel_Rarely,5,No,2,86,821,8509,19406,11,1,1,3,1,3,3,24,4,2,1,2,4,4
523,34,Female,Married,4,Marketing,4,Sales,Sales Executive,2,No,Non-Travel,4,No,3,72,1381,12740,6538,15,1,3,3,3,1,3,6,3,2,1,2,9,3
524,31,Female,Married,2,Medical,2,Research & Development,Manufacturing Director,2,No,Travel_Rarely,7,No,1,31,480,4156,4306,12,1,2,3,1,2,3,13,13,10,3,12,1,5
525,43,Male,Married,3,Medical,3,Research & Development,Laboratory Technician,1,No,Travel_Frequently,21,No,3,61,313,15238,2258,20,1,4,3,4,1,4,8,3,2,1,2,7,1
526,43,Female,Divorced,4,Other,4,Research & Development,Healthcare Representative,2,No,Travel_Rarely,8,Yes,3,74,1473,2227,4522,14,0,3,3,3,4,3,8,5,2,0,2,4,3
527,25,Female,Single,2,Life Sciences,2,Sales,Sales Executive,2,No,Travel_Rarely,4,Yes,3,99,891,12090,4487,11,0,2,2,4,2,3,5,5,4,1,3,1,3
529,37,Female,Married,5,Medical,5,Research & Development,Research Scientist,2,No,Non-Travel,25,Yes,3,72,1063,23866,4449,15,2,2,3,3,1,3,15,13,11,10,7,3,2
530,31,Male,Married,2,Life Sciences,2,Research & Development,Laboratory Technician,1,No,Travel_Rarely,1,No,3,98,329,16193,2218,12,1,4,2,1,3,3,4,4,2,3,2,1,3
531,39,Male,Divorced,1,Life Sciences,1,Research & Development,Manager,5,No,Travel_Frequently,1,Yes,3,52,1218,8213,19197,14,1,2,3,3,3,3,21,21,8,1,6,1,3
532,56,Female,Married,3,Life Sciences,3,Sales,Sales Executive,4,No,Travel_Frequently,6,No,2,86,906,18256,13212,11,3,3,4,1,4,3,36,7,7,7,7,9,0
533,30,Female,Single,3,Technical Degree,3,Sales,Sales Executive,2,No,Travel_Rarely,12,No,3,83,1082,19558,6577,11,0,2,3,3,2,3,6,5,4,4,4,0,6
534,41,Male,Married,3,Marketing,3,Sales,Sales Executive,3,No,Travel_Rarely,1,No,3,49,645,19566,8392,16,1,2,4,1,3,3,10,10,7,0,7,1,2
536,28,Male,Divorced,2,Medical,2,Research & Development,Laboratory Technician,2,No,Travel_Rarely,17,No,3,79,1300,13535,4558,12,1,3,3,1,4,3,10,10,0,1,8,1,2
538,25,Male,Married,3,Medical,3,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,3,No,3,91,688,9396,4031,13,1,1,3,1,3,3,6,2,2,0,2,5,5
543,52,Male,Married,3,Medical,3,Research & Development,Manufacturing Director,3,No,Travel_Rarely,3,Yes,3,39,319,19609,7969,14,0,4,2,3,3,3,28,5,4,0,4,2,4
544,45,Male,Married,2,Life Sciences,2,Research & Development,Research Scientist,1,No,Travel_Rarely,10,No,2,69,192,9655,2654,21,2,1,3,4,4,4,8,2,2,0,2,3,3
546,52,Female,Married,2,Life Sciences,2,Research & Development,Manager,4,No,Travel_Rarely,4,No,1,30,1490,10310,16555,13,0,4,3,4,4,3,31,5,2,1,4,2,2
547,42,Female,Divorced,2,Life Sciences,2,Research & Development,Research Scientist,2,No,Travel_Frequently,29,No,3,92,532,12932,4556,11,1,1,3,3,2,3,19,5,4,0,2,2,3
548,30,Female,Single,3,Life Sciences,3,Research & Development,Manufacturing Director,2,No,Travel_Rarely,2,No,3,43,317,24793,6091,20,0,3,1,4,3,4,11,5,4,0,2,2,2
549,60,Female,Married,3,Life Sciences,3,Research & Development,Manager,5,No,Travel_Rarely,7,No,1,41,422,3854,19566,11,0,1,3,1,4,3,33,29,8,11,10,5,5
550,46,Female,Divorced,3,Medical,3,Research & Development,Manufacturing Director,2,No,Travel_Rarely,18,No,2,87,1485,26314,4810,14,1,3,3,3,3,3,19,10,7,0,8,2,5
551,42,Female,Married,4,Technical Degree,4,Research & Development,Healthcare Representative,2,No,Travel_Frequently,28,No,4,88,1368,4386,4523,11,3,4,2,4,4,3,7,6,5,0,4,0,4
554,24,Female,Single,1,Technical Degree,1,Sales,Sales Representative,1,Yes,Travel_Rarely,1,Yes,3,62,1448,21972,3202,16,0,1,3,2,2,3,6,5,3,1,4,1,4
555,34,Female,Divorced,2,Marketing,2,Sales,Sales Representative,1,Yes,Travel_Frequently,6,No,2,33,296,12253,2351,16,1,4,1,3,4,3,3,2,2,1,0,0,3
556,38,Male,Married,2,Life Sciences,2,Research & Development,Laboratory Technician,1,No,Travel_Frequently,2,Yes,3,42,1490,12106,1702,23,1,4,3,4,3,4,1,1,0,0,0,1,3
558,40,Female,Married,4,Life Sciences,4,Sales,Manager,5,No,Travel_Rarely,2,No,3,79,1398,13022,18041,14,0,3,3,3,4,3,21,20,15,1,12,0,2
560,26,Female,Divorced,3,Life Sciences,3,Research & Development,Research Scientist,1,No,Travel_Rarely,23,No,1,90,1349,3032,2886,22,2,1,3,4,2,4,3,3,2,0,2,1,3
562,30,Male,Married,3,Life Sciences,3,Research & Development,Laboratory Technician,1,No,Non-Travel,3,No,1,53,1400,16734,2097,15,1,3,3,4,3,3,9,5,3,1,4,4,3
564,29,Male,Married,4,Medical,4,Research & Development,Research Director,3,No,Travel_Rarely,3,No,3,93,986,21526,11935,18,0,2,2,3,3,3,10,10,2,0,7,1,2
565,29,Female,Married,5,Technical Degree,5,Research & Development,Research Scientist,1,Yes,Travel_Rarely,25,No,4,71,408,18300,2546,16,0,3,2,2,2,3,6,2,2,1,1,5,2
566,19,Male,Single,2,Technical Degree,2,Human Resources,Human Resources,1,Yes,Travel_Rarely,2,No,4,52,489,18437,2564,12,0,1,2,4,3,3,1,1,0,0,0,1,3
567,30,Female,Married,4,Other,4,Sales,Sales Executive,3,No,Non-Travel,22,No,3,69,1398,2890,8412,11,0,3,3,1,3,3,10,9,8,7,8,0,3
568,57,Male,Divorced,3,Marketing,3,Sales,Manager,4,No,Travel_Rarely,29,No,2,56,210,22102,14118,12,1,1,2,4,3,3,32,1,0,0,0,3,3
569,50,Male,Married,4,Life Sciences,4,Research & Development,Manager,4,No,Travel_Rarely,29,No,3,88,1099,9314,17046,15,1,2,2,3,2,3,28,27,10,15,7,0,2
571,30,Female,Single,3,Medical,3,Research & Development,Laboratory Technician,1,No,Non-Travel,2,No,2,49,1116,7181,2564,14,0,3,3,4,3,3,12,11,7,6,7,0,2
573,60,Female,Married,3,Marketing,3,Sales,Sales Executive,3,No,Travel_Frequently,28,No,4,80,1499,2845,10266,19,0,3,2,1,4,3,22,18,13,13,11,4,5
574,47,Female,Divorced,2,Medical,2,Research & Development,Manufacturing Director,2,No,Travel_Rarely,2,No,3,65,983,7389,5070,13,3,1,3,4,3,3,20,5,0,0,4,5,2
575,46,Male,Married,3,Life Sciences,3,Research & Development,Research Director,4,No,Travel_Rarely,2,No,1,51,1009,2288,17861,13,0,1,3,3,3,3,26,3,2,0,1,6,2
577,35,Male,Single,3,Life Sciences,3,Research & Development,Laboratory Technician,1,No,Travel_Rarely,22,No,3,46,144,19225,4230,15,0,4,1,3,3,3,6,5,4,4,3,0,2
578,54,Female,Single,4,Life Sciences,4,Research & Development,Laboratory Technician,2,No,Travel_Rarely,8,No,3,42,548,23428,3780,11,0,3,3,3,3,3,19,1,0,0,0,7,3
579,34,Male,Divorced,4,Life Sciences,4,Research & Development,Research Scientist,1,No,Travel_Rarely,2,No,3,62,1303,8416,2768,12,1,4,2,3,3,3,14,7,3,5,7,3,3
580,46,Female,Married,3,Marketing,3,Sales,Sales Executive,3,No,Travel_Rarely,10,Yes,3,94,1125,11563,9071,19,1,3,2,4,3,3,15,3,2,1,2,2,3
581,31,Male,Divorced,1,Life Sciences,1,Research & Development,Manufacturing Director,3,No,Travel_Rarely,9,No,4,33,1274,14394,10648,25,1,3,3,2,4,4,13,13,8,0,8,1,6
582,33,Male,Married,1,Medical,1,Research & Development,Manager,3,Yes,Travel_Rarely,15,Yes,4,56,1277,24619,13610,12,0,2,3,3,4,3,15,7,6,7,7,7,2
584,33,Male,Divorced,1,Medical,1,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,10,No,3,38,587,6705,3408,13,3,1,1,4,1,3,8,4,3,1,3,7,2
585,30,Male,Single,1,Marketing,1,Sales,Sales Representative,1,No,Travel_Rarely,7,No,3,57,413,18398,2983,14,0,4,3,2,1,3,4,3,2,1,2,0,3
586,35,Male,Married,3,Life Sciences,3,Research & Development,Healthcare Representative,3,No,Travel_Rarely,16,Yes,3,72,1276,14295,7632,12,0,4,3,3,3,3,10,8,7,0,0,4,2
587,31,Male,Married,3,Life Sciences,3,Research & Development,Healthcare Representative,3,Yes,Travel_Frequently,20,No,3,66,534,22908,9824,12,0,1,3,3,1,3,12,1,0,0,0,3,2
590,34,Female,Divorced,3,Human Resources,3,Human Resources,Human Resources,3,Yes,Travel_Frequently,23,Yes,3,43,988,11533,9950,15,3,2,3,1,3,3,11,3,2,0,2,9,2
591,42,Male,Married,2,Other,2,Research & Development,Laboratory Technician,1,No,Travel_Frequently,5,No,3,97,1474,9260,2093,17,1,2,3,3,4,3,8,2,2,2,0,4,4
592,36,Male,Single,4,Medical,4,Sales,Sales Executive,3,No,Non-Travel,10,No,2,32,635,15318,9980,14,0,2,3,4,4,3,10,10,3,9,7,1,3
593,22,Male,Single,1,Technical Degree,1,Research & Development,Laboratory Technician,1,Yes,Travel_Frequently,4,No,3,99,1368,9129,3894,16,0,3,2,3,3,3,4,2,2,1,2,5,3
595,48,Female,Married,5,Marketing,5,Sales,Sales Executive,2,No,Travel_Rarely,2,No,3,37,163,19658,4051,14,1,2,3,4,1,3,14,9,7,6,7,2,2
597,55,Female,Single,5,Life Sciences,5,Sales,Manager,4,No,Travel_Rarely,18,No,3,83,1117,9873,16835,23,0,1,3,2,4,4,37,10,9,7,7,3,2
599,41,Male,Single,2,Life Sciences,2,Sales,Sales Executive,2,No,Non-Travel,10,No,3,56,267,13430,6230,14,0,4,3,4,4,3,16,14,3,1,10,7,3
600,35,Male,Married,3,Marketing,3,Sales,Sales Executive,2,No,Travel_Rarely,1,No,3,85,619,18659,4717,11,0,2,3,3,3,3,15,11,9,6,9,9,2
601,40,Female,Single,3,Life Sciences,3,Research & Development,Manufacturing Director,4,No,Travel_Rarely,6,No,3,75,302,20364,13237,15,0,2,3,3,3,3,22,20,6,5,13,7,3
602,39,Female,Married,1,Life Sciences,1,Research & Development,Laboratory Technician,1,No,Travel_Frequently,8,No,3,48,443,17872,3755,11,1,3,3,3,1,3,8,8,3,0,7,1,3
604,31,Male,Single,1,Life Sciences,1,Sales,Sales Executive,2,No,Travel_Rarely,2,Yes,4,77,828,8346,6582,13,0,2,3,4,3,3,10,6,5,0,5,4,2
605,42,Male,Married,3,Medical,3,Research & Development,Manufacturing Director,3,No,Travel_Rarely,24,Yes,2,56,319,6950,7406,21,1,4,3,1,4,4,10,10,9,5,8,1,5
606,45,Male,Married,3,Other,3,Sales,Sales Executive,2,No,Travel_Rarely,2,No,4,61,561,16177,4805,19,1,4,3,2,2,3,9,8,7,3,7,0,3
608,26,Female,Divorced,4,Life Sciences,4,Human Resources,Human Resources,1,Yes,Travel_Frequently,17,Yes,2,58,426,22808,2741,11,1,2,3,3,2,3,8,7,7,1,0,0,2
611,29,Male,Divorced,3,Technical Degree,3,Research & Development,Manufacturing Director,2,No,Travel_Rarely,19,No,4,34,232,22645,4262,12,2,4,3,4,2,3,8,3,2,1,2,4,2
612,33,Female,Divorced,5,Medical,5,Research & Development,Research Director,4,No,Travel_Rarely,1,No,3,95,922,22578,16184,19,1,1,4,3,3,3,10,6,1,0,5,4,2
613,31,Male,Divorced,3,Life Sciences,3,Sales,Manager,3,No,Travel_Rarely,7,No,2,44,688,25291,11557,21,1,3,2,4,3,4,10,5,4,0,1,9,3
614,18,Male,Single,3,Marketing,3,Sales,Sales Representative,1,Yes,Travel_Frequently,5,Yes,3,69,1306,8059,1878,14,0,2,3,2,4,3,0,0,0,0,0,1,3
615,40,Male,Divorced,3,Other,3,Sales,Sales Executive,3,No,Non-Travel,28,No,3,58,1094,11373,10932,15,1,3,1,1,3,3,20,1,0,0,1,3,2
616,41,Female,Single,4,Other,4,Research & Development,Healthcare Representative,2,No,Non-Travel,2,Yes,3,62,509,2112,6811,17,0,1,2,3,1,3,10,8,7,0,7,2,3
618,26,Male,Divorced,2,Medical,2,Sales,Sales Executive,2,No,Travel_Rarely,29,No,3,45,775,4267,4306,12,2,1,3,3,1,3,8,0,0,0,0,5,5
620,35,Female,Single,3,Medical,3,Sales,Sales Executive,2,No,Travel_Rarely,1,No,3,80,195,6698,4859,16,0,1,3,3,4,3,5,5,4,0,3,1,3
621,34,Male,Single,4,Life Sciences,4,Sales,Sales Executive,2,No,Travel_Rarely,21,No,3,74,258,19921,5337,12,0,4,4,4,4,3,10,10,7,5,7,1,3
622,26,Male,Single,3,Technical Degree,3,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,24,Yes,1,66,471,23213,2340,18,0,3,1,4,2,3,1,1,0,0,0,1,3
623,37,Female,Single,3,Technical Degree,3,Research & Development,Manufacturing Director,3,No,Travel_Rarely,1,No,4,59,799,23848,7491,17,0,2,3,4,4,3,12,6,5,1,2,4,3
624,46,Female,Married,1,Medical,1,Research & Development,Healthcare Representative,3,No,Travel_Frequently,18,No,2,86,1034,8984,10527,11,0,1,3,3,4,3,28,2,2,1,2,5,3
625,41,Female,Married,5,Life Sciences,5,Sales,Manager,4,No,Travel_Rarely,2,No,3,91,1276,5626,16595,16,1,2,3,1,2,3,22,18,16,11,8,7,2
626,37,Male,Divorced,4,Medical,4,Sales,Sales Executive,3,No,Non-Travel,9,No,3,69,142,24666,8834,13,1,1,3,2,4,3,9,9,5,7,7,1,6
630,52,Male,Divorced,2,Technical Degree,2,Research & Development,Research Scientist,2,No,Travel_Rarely,6,Yes,3,78,956,22087,5577,12,2,4,3,1,2,3,18,10,9,6,9,3,3
631,32,Male,Married,4,Other,4,Sales,Sales Executive,2,Yes,Non-Travel,11,No,3,60,1474,23914,4707,12,0,4,4,3,4,3,6,4,2,1,2,8,2
632,24,Male,Married,3,Medical,3,Sales,Sales Representative,1,No,Travel_Frequently,24,No,3,38,535,5530,2400,13,2,4,3,4,3,3,3,2,2,2,1,0,3
634,38,Female,Married,3,Medical,3,Research & Development,Healthcare Representative,2,No,Travel_Rarely,10,No,3,76,1495,22174,9824,19,1,3,3,3,3,3,18,1,0,0,0,3,4
635,37,Female,Married,4,Life Sciences,4,Research & Development,Manufacturing Director,2,No,Travel_Rarely,1,No,2,65,446,15701,6447,12,1,2,3,2,2,3,8,6,5,4,3,6,2
638,49,Male,Divorced,4,Life Sciences,4,Research & Development,Research Director,5,No,Travel_Rarely,18,Yes,3,58,1245,2125,19502,17,1,4,2,3,3,3,31,31,9,0,9,1,5
639,24,Male,Married,3,Medical,3,Research & Development,Research Scientist,1,No,Travel_Rarely,23,Yes,3,89,691,21630,2725,11,2,2,4,4,2,3,6,6,5,1,4,1,3
641,26,Male,Married,2,Marketing,2,Sales,Sales Executive,2,No,Travel_Rarely,28,No,4,66,703,7428,6272,20,2,1,3,2,4,4,6,5,3,1,4,1,5
643,24,Male,Married,2,Other,2,Research & Development,Laboratory Technician,1,No,Travel_Rarely,17,No,3,94,823,9100,2127,21,1,4,2,2,4,4,1,1,0,0,0,1,2
644,50,Male,Married,3,Medical,3,Human Resources,Manager,5,No,Travel_Frequently,3,No,3,99,1246,7999,18200,11,1,1,3,2,3,3,32,32,5,10,7,1,2
645,25,Male,Married,1,Medical,1,Sales,Sales Representative,1,No,Travel_Rarely,13,No,3,40,622,26376,2096,11,0,2,3,3,3,3,7,7,4,0,6,1,1
647,24,Female,Married,3,Life Sciences,3,Research & Development,Laboratory Technician,1,Yes,Travel_Frequently,7,Yes,3,55,1287,14168,2886,16,1,1,3,3,4,3,6,6,3,1,2,1,4
648,30,Male,Married,4,Life Sciences,4,Sales,Sales Representative,1,Yes,Travel_Frequently,12,No,4,74,448,14470,2033,18,1,2,2,1,3,3,1,1,0,0,0,1,2
649,34,Male,Married,2,Life Sciences,2,Research & Development,Research Scientist,1,No,Travel_Rarely,1,Yes,3,83,254,22794,3622,13,1,2,2,4,4,3,6,6,5,1,3,1,3
650,31,Male,Divorced,4,Medical,4,Sales,Sales Executive,2,Yes,Travel_Rarely,13,No,1,46,1365,11512,4233,17,0,2,3,1,3,3,9,3,1,1,2,2,2
652,35,Male,Single,2,Other,2,Research & Development,Laboratory Technician,2,No,Travel_Rarely,25,No,3,54,538,14004,3681,14,0,1,2,4,4,3,9,3,2,0,2,4,3
653,31,Male,Divorced,4,Medical,4,Sales,Sales Executive,2,No,Travel_Rarely,6,No,4,66,525,6219,5460,22,2,1,4,4,4,4,13,7,7,5,7,4,4
655,27,Female,Divorced,4,Medical,4,Research & Development,Research Scientist,1,No,Travel_Rarely,6,No,2,66,798,5013,2187,12,2,1,2,3,3,3,6,5,3,0,3,0,5
656,37,Male,Married,3,Marketing,3,Sales,Sales Executive,2,No,Travel_Rarely,2,Yes,2,75,558,3010,9602,11,1,4,3,3,3,3,17,3,0,1,0,4,3
657,20,Female,Single,3,Life Sciences,3,Research & Development,Research Scientist,1,No,Travel_Rarely,1,No,4,83,959,11757,2836,13,0,4,2,2,4,3,1,1,0,0,0,1,0
659,42,Female,Married,4,Life Sciences,4,Research & Development,Healthcare Representative,2,No,Travel_Rarely,2,No,3,81,622,5718,4089,13,2,3,3,4,2,3,10,10,2,2,2,1,4
661,43,Male,Divorced,4,Other,4,Research & Development,Research Director,4,No,Travel_Rarely,6,Yes,2,50,782,2671,16627,14,1,2,2,4,3,3,21,1,0,0,0,4,3
662,38,Female,Single,1,Life Sciences,1,Research & Development,Research Scientist,1,No,Travel_Rarely,1,No,2,43,362,14561,2619,17,0,3,3,1,4,3,8,0,0,0,0,3,3
663,43,Male,Divorced,5,Medical,5,Research & Development,Laboratory Technician,2,No,Travel_Frequently,9,Yes,3,72,1001,19627,5679,13,1,4,3,3,2,3,10,8,7,4,7,3,3
664,48,Female,Married,4,Life Sciences,4,Research & Development,Manager,4,No,Travel_Rarely,1,No,1,40,1236,17997,15402,11,1,4,2,1,1,3,21,3,2,0,2,7,3
665,44,Female,Single,4,Life Sciences,4,Human Resources,Human Resources,2,No,Travel_Rarely,1,No,4,50,1112,26894,5985,11,0,1,2,3,2,3,10,2,2,0,2,4,1
666,34,Female,Divorced,3,Technical Degree,3,Sales,Sales Representative,1,No,Travel_Rarely,14,Yes,3,31,204,2912,2579,18,2,3,3,3,4,3,8,8,2,0,6,1,3
667,27,Male,Divorced,1,Marketing,1,Sales,Sales Representative,1,Yes,Travel_Rarely,2,No,3,85,1420,16346,3041,11,1,3,3,1,2,3,5,4,3,0,2,0,3
669,21,Male,Single,1,Technical Degree,1,Sales,Sales Representative,1,No,Travel_Rarely,22,No,3,49,1343,24444,3447,11,0,3,3,3,3,3,3,3,2,1,2,1,2
671,44,Male,Married,4,Other,4,Research & Development,Manager,5,No,Travel_Rarely,3,Yes,4,35,1315,9358,19513,12,1,4,3,4,1,3,26,2,2,0,1,4,2
675,22,Male,Married,1,Medical,1,Research & Development,Research Scientist,1,No,Travel_Rarely,6,No,3,69,604,12145,2773,20,0,1,3,3,4,4,3,2,2,2,2,0,3
677,33,Male,Divorced,4,Marketing,4,Sales,Sales Executive,2,No,Travel_Rarely,8,No,3,39,1216,20431,7104,12,0,3,3,3,4,3,6,5,0,1,2,0,3
679,32,Female,Married,4,Life Sciences,4,Research & Development,Research Scientist,2,No,Travel_Rarely,9,Yes,2,92,646,18089,6322,12,1,1,3,4,4,3,6,6,4,0,5,1,2
680,30,Female,Divorced,3,Medical,3,Research & Development,Research Scientist,1,No,Travel_Frequently,3,No,3,71,160,22653,2083,20,1,3,3,3,3,4,1,1,0,0,0,1,2
682,53,Female,Single,1,Medical,1,Sales,Sales Executive,2,No,Travel_Rarely,1,No,4,34,238,7507,8381,20,0,4,3,1,4,4,18,14,7,8,10,7,2
683,34,Male,Married,5,Life Sciences,5,Research & Development,Research Scientist,1,No,Travel_Rarely,1,No,2,42,1397,7660,2691,12,1,2,3,4,4,3,10,10,9,8,8,1,4
684,45,Female,Married,4,Life Sciences,4,Sales,Sales Executive,2,Yes,Travel_Frequently,26,No,3,100,306,5630,4286,14,2,1,3,1,4,3,5,1,1,0,0,2,4
686,26,Female,Married,3,Life Sciences,3,Research & Development,Laboratory Technician,1,No,Travel_Rarely,6,Yes,3,71,991,17759,2659,13,1,3,3,4,3,3,3,3,2,0,2,1,2
689,37,Male,Married,3,Other,3,Research & Development,Manufacturing Director,3,No,Travel_Rarely,3,No,3,36,482,9606,9434,15,1,3,3,3,3,3,10,10,7,7,8,1,2
690,29,Female,Married,2,Medical,2,Sales,Sales Executive,2,No,Travel_Rarely,3,No,2,62,1176,3487,5561,14,1,2,3,3,1,3,6,6,0,1,2,1,5
691,35,Male,Single,4,Life Sciences,4,Research & Development,Research Scientist,2,No,Travel_Rarely,6,No,3,82,1017,19368,6646,13,0,2,1,4,2,3,17,17,11,11,8,1,3
692,33,Male,Divorced,3,Life Sciences,3,Research & Development,Healthcare Representative,2,No,Travel_Frequently,6,No,1,30,1296,5335,7725,23,1,3,3,4,3,4,15,13,11,4,7,3,2
698,54,Male,Married,4,Medical,4,Human Resources,Human Resources,3,No,Travel_Rarely,19,No,4,88,397,6729,10725,15,1,3,3,2,3,3,16,9,7,7,1,2,1
699,36,Male,Divorced,2,Medical,2,Research & Development,Manufacturing Director,2,No,Travel_Rarely,9,Yes,3,48,913,13934,8847,11,1,2,2,2,3,3,13,3,2,0,2,2,2
700,27,Male,Single,4,Medical,4,Research & Development,Research Scientist,1,No,Travel_Rarely,3,No,3,54,1115,15174,2045,13,0,1,2,4,4,3,5,4,2,1,1,0,0
701,20,Male,Single,1,Medical,1,Research & Development,Research Scientist,1,Yes,Travel_Rarely,10,Yes,3,32,1362,26999,1009,11,0,4,3,3,4,3,1,1,0,1,1,1,5
702,33,Male,Single,3,Life Sciences,3,Research & Development,Research Scientist,1,Yes,Travel_Frequently,3,Yes,3,70,1076,3164,3348,11,0,1,3,1,1,3,10,10,8,9,7,1,3
704,35,Male,Married,3,Life Sciences,3,Research & Development,Laboratory Technician,1,No,Non-Travel,3,No,3,41,727,16900,1281,18,2,3,2,3,3,3,1,1,0,0,0,1,3
705,23,Male,Married,3,Medical,3,Research & Development,Research Scientist,1,No,Travel_Rarely,4,No,4,58,885,8544,2819,16,1,1,4,1,1,3,5,3,2,0,2,2,3
707,25,Male,Married,3,Life Sciences,3,Sales,Sales Executive,2,No,Travel_Rarely,8,No,3,57,810,15678,4851,22,1,4,4,2,3,4,4,3,2,1,2,0,4
709,38,Female,Single,4,Marketing,4,Sales,Sales Executive,2,No,Travel_Rarely,7,No,3,46,243,7791,4028,20,0,4,2,4,1,4,8,7,7,0,5,0,2
710,29,Male,Divorced,4,Life Sciences,4,Research & Development,Research Scientist,1,No,Travel_Frequently,1,No,3,76,806,18959,2720,18,1,2,1,4,4,3,10,10,7,2,8,1,5
712,48,Male,Married,1,Marketing,1,Sales,Sales Executive,2,No,Travel_Rarely,2,No,3,56,817,18597,8120,12,0,2,4,2,4,3,12,2,2,2,2,3,3
714,27,Female,Divorced,1,Medical,1,Sales,Sales Executive,2,No,Travel_Frequently,3,Yes,3,71,1410,16673,4647,20,2,4,4,4,2,4,6,6,5,0,4,1,3
715,37,Male,Single,2,Life Sciences,2,Research & Development,Research Scientist,1,No,Travel_Rarely,10,No,3,80,1225,15232,4680,17,0,4,4,4,1,3,4,1,0,0,0,3,2
716,50,Male,Married,1,Medical,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,28,Yes,3,74,1207,3297,3221,11,3,4,4,3,3,3,20,20,8,3,8,1,3
717,34,Female,Single,3,Medical,3,Research & Development,Healthcare Representative,3,No,Travel_Rarely,9,No,4,46,1442,17654,8621,14,0,4,2,2,2,3,9,8,7,7,7,1,3
720,24,Female,Single,2,Life Sciences,2,Sales,Sales Executive,2,Yes,Travel_Rarely,3,No,3,65,693,24785,4577,14,0,1,3,3,1,3,4,2,2,2,0,9,3
721,39,Female,Single,4,Technical Degree,4,Research & Development,Healthcare Representative,2,No,Travel_Rarely,2,No,3,80,408,20978,4553,11,0,4,2,3,1,3,20,20,7,11,10,1,4
722,32,Male,Single,3,Marketing,3,Sales,Sales Executive,2,No,Travel_Rarely,10,No,2,55,929,21703,5396,12,0,4,3,4,4,3,10,10,7,0,8,1,2
723,50,Male,Married,2,Technical Degree,2,Sales,Sales Executive,2,Yes,Travel_Frequently,8,Yes,3,50,562,23452,6796,14,1,2,3,3,1,3,18,4,3,1,3,3,4
724,38,Female,Single,4,Life Sciences,4,Research & Development,Healthcare Representative,2,No,Travel_Rarely,1,No,2,33,827,19383,7625,13,0,2,4,4,3,3,10,9,7,1,8,0,4
725,27,Female,Married,2,Life Sciences,2,Research & Development,Manufacturing Director,3,No,Travel_Rarely,1,No,3,68,608,6009,7412,11,0,3,3,1,4,3,9,9,7,0,7,1,3
727,32,Female,Single,2,Life Sciences,2,Research & Development,Research Director,3,No,Travel_Rarely,3,No,3,39,1018,19373,11159,15,0,3,3,4,4,3,10,7,7,7,7,3,6
728,47,Male,Single,4,Marketing,4,Sales,Sales Executive,2,No,Travel_Rarely,14,No,3,42,703,11825,4960,12,0,4,3,1,4,3,20,7,7,1,7,2,2
729,40,Male,Married,4,Life Sciences,4,Sales,Sales Executive,3,No,Travel_Frequently,5,Yes,3,48,580,23772,10475,21,1,4,2,1,3,4,20,18,13,1,12,5,2
